firm,aum_usd,city,website,stages,partner_scrape_status,priority,notes
General Catalyst,16700000000,San Francisco,generalcatalyst.com,both,covered,1,
Founders Fund,16200000000,San Francisco,foundersfund.com,seed+,covered,1,Growth fund AUM combined with main fund AUM
Notable Capital (GGV US),12600000000,Menlo Park,notablecapital.com,both,gap-fill-running,1,Formerly GGV US
Khosla Ventures,10600000000,Menlo Park,khoslaventures.com,both,covered,1,
Accel,10500000000,Palo Alto,accel.com,both,covered,1,Leaders fund + main fund combined
Andreessen Horowitz (a16z),7600000000,Menlo Park,a16z.com,both,covered,1,
Kleiner Perkins,5460000000,Menlo Park,kleinerperkins.com,seed/seed+,covered,1,
BOND,4500000000,San Francisco,bondcap.com,growth,covered,2,Mary Meeker — late-stage growth; marginal for $500K seed
Amplify Partners,3200000000,Menlo Park,amplifypartners.com,seed,gap-fill-running,1,Enterprise/dev tools focus
CRV,3150000000,Palo Alto,crv.com,seed/Series A,gap-fill-running,1,
Felicis Ventures,2830000000,Menlo Park,felicis.com,both,covered,1,
Ribbit Capital,2470000000,Palo Alto,ribbitcap.com,fintech,gap-rec,2,Fintech specialist — only relevant if your wedge is fintech
Tribe Capital,2080000000,San Francisco,tribecap.co,seed+,gap-rec,2,
Eclipse Ventures,2040000000,Palo Alto,eclipse.vc,seed+,gap-rec,2,Industrial/hardware focus
True Ventures,1980000000,Palo Alto,trueventures.com,seed,gap-fill-running,1,
Foundation Capital,1910000000,Menlo Park,foundationcapital.com,seed,gap-fill-running,1,
Menlo Ventures,1650000000,Menlo Park,menlovc.com,seed+,covered,1,
Section 32,1630000000,Palo Alto,section32.com,seed+,gap-rec,2,
Redpoint Ventures,1560000000,Menlo Park,redpoint.com,seed/Series A,gap-fill-running,1,
Base10 Partners,1560000000,San Francisco,base10.vc,seed,gap-rec,2,Automation for the real economy
First Round Capital,1520000000,San Francisco,firstround.com,seed,gap-fill-running,1,Top-tier seed brand
DCVC,1500000000,Palo Alto,dcvc.com,seed+,gap-fill-running,1,Deep tech focus
Forerunner Ventures,1500000000,San Francisco,forerunnerventures.com,seed/Series A,gap-fill-running,1,Consumer focus
Scale Venture Partners,1500000000,Foster City,scalevp.com,Series A+,gap-rec,3,Late-Series-A — margin for $500K
DBL Partners,1419000000,San Francisco,DBL,growth,gap-rec,3,Impact investor
Carrick Capital,1412000000,San Francisco,carrickcapitalpartners.com,growth,gap-rec,3,Growth equity
NFX,1390000000,San Francisco,nfx.com,seed,gap-fill-running,1,Top-tier seed; marketplace focus
Owl Ventures,1289000000,San Francisco,owlvc.com,seed+,gap-rec,3,Edtech specialist
Crosslink Ventures,1261000000,Menlo Park,crosslinkcapital.com,seed+,gap-rec,3,
G2VP,1217000000,Menlo Park,g2vp.com,seed+,gap-rec,3,Climate
Future Ventures,1180000000,Los Altos,future.ventures,seed+,gap-rec,3,Steve Jurvetson
Define Ventures,1153000000,San Francisco,definevc.com,seed+,gap-rec,3,Healthcare
Sofinnova,1150000000,Menlo Park,sofinnova.com,seed,gap-rec,3,Bio specialist
Goodwater Capital,1145000000,Burlingame,goodwatercap.com,seed+,gap-rec,2,Consumer
SV Angel,1139000000,San Francisco,svangel.com,seed,gap-rec,2,Famous angel firm — Conway-led
Threshold Ventures,1052000000,Menlo Park,threshold.vc,seed+,gap-rec,2,Formerly DFJ Venture
Sozo Ventures,1000000000,Redwood City,sozo.ventures,seed+,gap-rec,3,
Decibel Partners,995000000,Palo Alto,decibel.vc,seed,gap-rec,2,Cisco-affiliated
Innovation Endeavors,944000000,Palo Alto,innovationendeavors.com,seed+,gap-rec,2,Eric Schmidt's firm
DFJ,894000000,Menlo Park,dfj.com,seed+,gap-rec,2,
Headline,817000000,San Francisco,headline.com,both,gap-rec,2,
01 Advisors,650000000,San Francisco,01advisors.com,seed,gap-rec,2,Dick Costolo + Adam Bain
Slow Ventures,650000000,San Francisco,slow.co,seed,gap-fill-running,1,Sam Lessin's firm
Initialized Capital,670000000,San Francisco,initialized.com,seed,covered,1,
Costanoa Ventures,700000000,Palo Alto,costanoavc.com,seed,gap-rec,2,B2B focus
Pillar Ventures,695000000,Menlo Park,pillarventures.com,seed,gap-rec,3,
Theory Ventures,685000000,Portola Valley,,seed,gap-rec,2,Tomasz Tunguz
Venrock,675000000,Palo Alto,venrock.com,seed+,gap-rec,2,
Susa Ventures,584000000,San Francisco,susaventures.com,seed,gap-rec,2,
Atomic Labs,577000000,San Francisco,atomic.vc,seed,gap-rec,2,Studio model
Emergence Capital,575000000,San Mateo,emcap.com,Series A+,gap-rec,3,SaaS specialist
Lobby Capital,550000000,San Francisco,,seed,gap-rec,2,
Rally Ventures,525000000,Menlo Park,rallyventures.com,seed+,gap-rec,3,
Kindred Ventures,524000000,San Francisco,kindredventures.com,seed,gap-rec,2,
Alta Partners,500000000,San Francisco,altapartners.com,bio,gap-rec,4,Bio specialist
Geodesic Capital,500000000,Foster City,geodesiccap.com,seed+,gap-rec,3,
USVP,490000000,Menlo Park,usvp.com,seed+,gap-rec,3,
Pear VC,425000000,Menlo Park,pear.vc,pre-seed/seed,gap-fill-running,1,Pejman + Mar
Benchmark,425000000,San Francisco,benchmark.com,seed+,covered,1,
Uncork Capital,425000000,Palo Alto,uncorkcapital.com,seed,gap-fill-running,1,Jeff Clavier
Precursor Ventures,416000000,San Francisco,precursorvc.com,pre-seed/seed,gap-rec,2,Charles Hudson
Afore Capital,404000000,San Francisco,afore.vc,pre-seed,gap-rec,2,Pre-seed specialist
Defy Partners,400000000,Woodside,,seed,gap-rec,2,
Obvious Ventures,400000000,San Francisco,obvious.com,seed+,gap-rec,3,Ev Williams
Root Ventures,400000000,San Francisco,root.vc,seed,gap-rec,3,Hardware
