name,role_or_company,sf_based,angel_activity_signal,linkedin_or_source_url,notes
Tobi Lutke,CEO & Co-founder Shopify,N,"43 angel investments incl. Teachable, Forma, Manifold Labs (Series A Jul 2025)",https://www.cbinsights.com/investor/tobias-lutke,Ottawa-based; rare check-writer but high-signal strategic for commerce/AI
Harley Finkelstein,President Shopify,N,"Canadian Startup Awards Angel Investor of the Year 2017; 20+ investments incl. Integrate.ai, Fellow, Spartan Bioscience",https://en.wikipedia.org/wiki/Harley_Finkelstein,Ottawa/Toronto; advisor to Felicis & OMERS Ventures
Daniel Weinand,Co-founder & former CDO/CCO Shopify,N,Active angel investor per Crunchbase profile,https://www.cbinsights.com/investor/daniel-weinand,Germany/Ottawa-based; co-founder profile gives high signal
Craig Miller,Former CPO Shopify / Staircase Ventures,N,Founding Partner at Staircase Ventures (early stage fund); advises ex-Shopify founders,https://staircaseventures.com/team/craigmiller/,Toronto; runs fund so likely doesn't write personal angel checks but strong intro target
Adam McNamara,Former VP Product Shopify / McNamara Family Investments,N,"Co-founded Ramen Ventures ($10M angel fund, 14 investments); now runs McNamara Family Investments writing up to $250K",https://mcnamarafi.com/,Toronto; deep-tech focused but commerce-friendly via Shopify roots
Joshua Tessier,Former Shopify / Ramen Ventures co-founder,N,Co-founded Ramen Ventures angel fund (14 investments incl. Fiix, ChefHero),https://betakit.com/ex-shopify-leaders-launch-10-million-angel-fund-ramen-ventures/,Toronto-based
Brittany Forsyth,Former Chief Talent Officer Shopify / Bessemer operating advisor,N,Founding partner Backbone Angels (50+ investments to date),https://www.bvp.com/team/brittany-forsyth,Ottawa/Toronto; checks $10K-$50K typical
Atlee Clark,Former Director Shopify / Backbone Angels,N,Co-founded Backbone Angels collective,https://firstfunderspod.com/people/atlee-clark,Canada-based; appeared on First Funders pod about angel investing
Lynsey Thornton,Former US West MD Shopify / Backbone Angels,?,Founding partner Backbone Angels,https://www.backboneangels.com/investors,Likely Bay Area given US West MD role
Solmaz Shahalizadeh,Former VP Data Shopify / Bessemer operating advisor,N,Founding partner Backbone Angels,https://www.bvp.com/team/solmaz-shahalizadeh,Toronto; data/ML angle
